STA_SEQ,WaterbodyName,Description,ylat,xlong,munName,subBasin,adbSegID,stationsCommentTxt,lastUpdateDate
14152,Clarke Brook,adjacent Route 195,41.8447,-72.3248,TOLLAND,3100,NOSEG,Initial Site Number=108 or alias of =//site comments:,3/12/2010
14153,Coginchaug River,downstream Route 66,41.5547,-72.6737,MIDDLETOWN,4607,CT4607-00_03,Initial Site Number=51 or alias of =CoR015//site comments:,10/5/2021
14154,Community Lake,upstream Hall Avenue,41.4625,-72.8302,WALLINGFORD,5200,CT5200-00_02,Initial Site Number=QRCL or alias of =//site comments:Sediment collection location,3/12/2010
14155,Compounce Mountain Brook,at end of Dirt road for reservoir access,41.6206,-72.9353,WOLCOTT,5201,NOSEG,Initial Site Number=109 or alias of =//site comments:,3/12/2010
14156,Comstock Brook,upstream wooden footbridge in town park,41.1961,-73.4354,WILTON,7301,CT7301-00_01,"Initial Site Number=192 or alias of =NW5//site comments:To access site, enter town beach and walk past swings to the wooden footbridge.  This station has dried completely in summer.",3/12/2010
14157,Cooper Pond Brook,downstream plaza entrance bridge,41.2677,-73.4422,RIDGEFIELD,7300,CT7300-07_01,Initial Site Number=193 or alias of =//site comments:site is at shopping plaza entrance road.,10/5/2021
14158,Coppermine Brook,upstream West Washington Street,41.6777,-72.9077,BRISTOL,4314,CT4314-00_01,Initial Site Number=187 or alias of =12303//site comments:,3/12/2010
14159,Copps Brook,downstream Mystic Reservoir (Palmer Reservoir),41.3645,-71.9351,STONINGTON,2102,CT2102-00_01,Initial Site Number=CB1 or alias of =A//site comments:historical impact from copper sulfate sludge from water company.,3/12/2010
14160,Copps Brook,in effluent channel upstream of Copps Brook confluence (jerry brown road),41.3649,-71.9344,STONINGTON,2102,CT2102-00_01-INTO,Initial Site Number=CB2 or alias of =C//site comments:historical impact from copper sulfate sludge from water company.,3/12/2010
14161,Copps Brook,downstream effluent channel,41.3641,-71.9347,STONINGTON,2102,CT2102-00_01,Initial Site Number=CB3 or alias of =B//site comments:historical impact from copper sulfate sludge from water company.,3/12/2010
14162,Copps Brook,upstream second driveway upstream of Quiambog Cove,41.3611,-71.9341,STONINGTON,2102,CT2102-00_01,Initial Site Number=CB4 or alias of =D//site comments:historical impact from copper sulfate sludge from water company.,3/12/2010
14163,"Copps Brook, tributary to",downstream Mistuxet Road and Cove Road intersection,41.3615,-71.9369,STONINGTON,2102,CT2102-00-trib_01,Initial Site Number=CB5 or alias of =F//site comments:historical impact from copper sulfate sludge from water company.,3/12/2010
14164,Copps Brook,"upstream of first driveway off Cove Road, Just above Quiambog Cove",41.3571,-71.9363,STONINGTON,2102,CT2102-00_01,"Initial Site Number=CB6 or alias of =E, 13041//site comments:stream had very little water, just enough to wet substrate, historical impact from copper sulfate sludge from water company.",3/12/2010
14165,Crooked Brook,downstream Orchard Road,41.595,-72.7791,BERLIN,4601,CT4601-01_03,Initial Site Number=194 or alias of =//site comments:,10/5/2021
14166,Deep Brook,upstream RR bridge,41.404,-73.294,NEWTOWN,6019,CT6019-00_01,Initial Site Number=DB1 or alias of =//site comments:WPCF upgrade evaluation (Sid 6795),8/28/2015
14167,Deep Brook,opposite upper POTW,41.4081,-73.2865,NEWTOWN,6019,CT6019-00_01,Initial Site Number=DB2 or alias of =//site comments:WPCF upgrade evaluation,3/12/2010
14168,Deep Brook,downstream bridge crossing at former stp outfall,41.4096,-73.2855,NEWTOWN,6019,CT6019-00_01,"Initial Site Number=DB3A, CT46-99 or alias of =50-002//site comments:WPCF upgrade evaluation. RBV sample by TU spring 2005",10/5/2021
14169,Deep Brook,downstream opposite from effluent,41.409583,-73.285472,NEWTOWN,6019,CT6019-00_01,Initial Site Number=DB3B or alias of =//site comments:WPCF upgrade evaluation,10/5/2021
14170,Deep Brook,downstream outfall,41.4101,-73.2851,NEWTOWN,6019,CT6019-00_01,Initial Site Number=DB4 or alias of =//site comments:WPCF upgrade evaluation,3/12/2010
14171,Deep Brook,upstream tributary,41.4115,-73.2848,NEWTOWN,6019,CT6019-00_01,Initial Site Number=DB5 or alias of =//site comments:WPCF upgrade evaluation,10/5/2021
14172,Deep Brook,upstream mouth near Pootatuck River,41.4131,-73.2823,NEWTOWN,6019,CT6019-00_01,Initial Site Number=DB6 or alias of =//site comments:WPCF upgrade evaluation CVTU RBV 2010-2012,10/5/2021
14173,Dickinson Creek,at dirt road off Islieb Street,41.6642,-72.4843,MARLBOROUGH,4708,NOSEG,Initial Site Number=110 or alias of =//site comments:,3/12/2010
14174,East Branch Eightmile River,100 meters upstream Mouth downstream Route 156,41.4309,-72.3375,LYME,4802,CT4802-00_01,Initial Site Number=204 or alias of =26-003//site comments:Site is adjacent to site 203 Eightmile River,10/5/2021
14175,East Branch Naugatuck River,adjacent to Newfield Road at old RR tressel,41.8203,-73.1232,TORRINGTON,6905,CT6905-00_02,Initial Site Number=11 or alias of =NR3//site comments:,3/12/2010
14176,East Branch Naugatuck River,upstream Route 4,41.8122,-73.1221,TORRINGTON,6905,CT6905-00_02,"Initial Site Number=NR3A or alias of =EBNR2, 1431.01//site comments:site moved in 2008 to be at bottom of segment 2 versus top of segment 1",3/12/2010
14177,East Branch Naugatuck River,downstream Main Street,41.8107,-73.1216,TORRINGTON,6905,CT6905-00_01,Initial Site Number=NR3B or alias of =EBNR3//site comments:,12/27/2021
14178,East Branch Naugatuck River,upstream East Pearl Street,41.8061,-73.1184,TORRINGTON,6905,CT6905-00_01,Initial Site Number=NR3C or alias of =B3//site comments:,3/12/2010
14179,East Branch Naugatuck River,downstream Franklin Drive,41.797345,-73.115842,TORRINGTON,6905,CT6905-00_01,"Initial Site Number=NR4 or alias of =11233,NR4, NR-EB, EBNR4//site comments: Station also used for stormwater temperature/conductivity project, 30 M ds AWQ 19061",10/5/2021
14180,Crystal Lake,at deepest part of lake,41.524,-72.639,MIDDLETOWN,4013,UNKNOWN,Initial Site Number= or alias of =//site comments:sample collected by CT Agricultural Experiment Station,3/12/2010
14181,East Aspetuck River,upstream Waramug treatment plant off Flirtation Ave,41.6823,-73.3539,WASHINGTON,6502,CT6502-00_03,Initial Site Number=111 or alias of =//site comments:,3/12/2010
14182,East Aspetuck River,downstream Waramug treatment plant off Flirtation Ave,41.6817,-73.354,WASHINGTON,6502,CT6502-00_03,Initial Site Number=112 or alias of =//site comments:,3/12/2010
14183,East Aspetuck River,upstream Wellsville Road,41.5979,-73.4152,NEW MILFORD,6502,CT6502-00_02,Initial Site Number=153 or alias of =//site comments:,10/5/2021
14184,East Swamp Brook,downstream Plumtrees Road,41.3859,-73.3984,BETHEL,6605,CT6605-00_01,Initial Site Number=ESB-66 or alias of =//site comments:,12/27/2021
14185,Echo Lake Brook,upstream Echo Lake,41.6046,-73.0971,WATERTOWN,6912,NOSEG,Initial Site Number=113 or alias of =//site comments:,3/12/2010
14186,Eightmile Brook,upstream Loughlin Road,41.3885,-73.1648,OXFORD,6023,CT6023-00_01,Initial Site Number=154 or alias of =//site comments:,12/27/2021
14187,Eightmile River,downstream Route 156 upstream confluence,41.4312,-72.3376,LYME,4800,CT4800-00_01,Initial Site Number=203 or alias of =26-001//site comments:Adjacent to site 204 East Branch Eightmile River,10/5/2021
14188,Eightmile River,downstream Marion Avenue,41.588,-72.8977,SOUTHINGTON,5201,CT5201-00_01,"Initial Site Number=18 or alias of =QR9,1311.01//site comments:Reference station. This site was destroyed by bridge construction during 2004-2005",3/12/2010
14189,Eightmile River,downstream Jude Lane,41.6066,-72.9042,SOUTHINGTON,5201,CT5201-00_01,Initial Site Number=QR9A or alias of =3-001//site comments:,10/5/2021
14190,Eightmile River,downstream Welch Road,41.6334,-72.9176,SOUTHINGTON,5201,CT5201-00_02,Initial Site Number=QR9B or alias of =//site comments:,3/12/2010
14191,Factory Brook,upstream R.R. crossing,41.9639,-73.4396,SALISBURY,6005,CT6005-00_02,Initial Site Number=114 or alias of =//site comments:,3/12/2010
14192,Factory Brook,downstream 50-350 feet discharge POTW,41.967,-73.4264,SALISBURY,6005,CT6005-00_01,"Initial Site Number=166 or alias of =231A,11274//site comments:sample collected for background metals for Factory Brook TMDL development",3/12/2010
14193,Farm River,downstream Route 22 at Masonic Temple,41.3818,-72.7941,NORTH BRANFORD,5112,CT5112-00_03a,Initial Site Number=115 or alias of =//site comments:at Masonic Temple Parking area Nice gravel/cobble bottom.,12/27/2021
14194,Farm River,downstream Totoket Road,41.3331,-72.8153,NORTH BRANFORD,5112,CT5112-00_02,Initial Site Number=173 or alias of =11009//site comments:,12/27/2021
14195,Farmill River,upstream Route 110,41.2591,-73.0979,STRATFORD,6025,CT6025-00_02,Initial Site Number=155 or alias of =FMR-156//site comments:,10/5/2021
14196,Farmill River,downstream Route 8 at old bridge,41.273,-73.1129,SHELTON,6025,CT6025-00_02,"Initial Site Number=156, CT 55-06 or alias of =FMR-155//site comments:",3/12/2010
14197,Farmington River,adjacent Route 4 at Wood-N-Tap (formerly Apricots Restaurant),41.7508,-72.8717,FARMINGTON,4300,CT4300-00_03,Initial Site Number=52 or alias of =//site comments:Station is wadable at lower flows,12/21/2021
14198,Farmington River,upstream Old Farms Road,41.7723,-72.822,AVON,4300,CT4300-00_02,Initial Site Number=53 or alias of =//site comments:Access station from East bank.,12/21/2021
14199,Fenton River,adjacent Daleville Road,41.863,-72.2402,WILLINGTON,3207,CT3207-00_02,Initial Site Number=116 or alias of =//site comments:Mercury evaluation,10/5/2021
14200,Fenton River,downstream Route 44,41.8727,-72.2416,WILLINGTON,3207,CT3207-00_02,Initial Site Number=116A or alias of =//site comments:Mercury evaluation,3/12/2010
14201,Five Mile River,downstream Lakeview Avenue,41.1418,-73.4833,NEW CANAAN,7401,CT7401-00_03,Initial Site Number=180 or alias of =11028//site comments:,3/12/2010
14202,Five Mile River,under Old Norwalk Road,41.1365,-73.4793,NEW CANAAN,7401,CT7401-00_02,"Initial Site Number=181, CT 60-01 or alias of =11235//site comments:ABM site for rotating basin 1997-1998, Probabilisitc Monitoring Y2 station in 2003.",10/5/2021
14203,Five Mile River,upstream East Street (Route 106),41.1478,-73.4835,NEW CANAAN,7401,CT7401-00_03,Initial Site Number=42 or alias of =//site comments:,3/12/2010
14204,Fivemile River,downstream Route 101,41.846,-71.8902,KILLINGLY,3400,CT3400-00_02,Initial Site Number=117 or alias of =//site comments:chem/phys grabs to support rotating basin.  Macroinvertebrates collected at site number 118.  Some benthic habitat under the route 101 bridge.,10/5/2021
14205,Fivemile River,downstream 500 meters Route 101,41.8451,-71.8912,KILLINGLY,3400,CT3400-00_02,Initial Site Number=118 or alias of =//site comments:50 meters downstream old Prym discharge canal.    This is the benthic station.; Access to station is by walking down through stream to reach station.,11/17/2021
14206,French River,adjacent Route 12,41.9548,-71.884,THOMPSON,3300,CT3300-00_01,"Initial Site Number=31 or alias of =FR3,B8//site comments:1984 baseline biological survey.; After on ramp to I395, continue on route 12,  there will be a dirt pulloff on side of the road. Access to station is by parking on side of road (route 12) and walking down stream bank.",11/17/2021
14207,French River,upstream Langers Pond,42.0248,-71.8843,THOMPSON,3300,CT3300-00_02,Initial Site Number=FR1 or alias of =B1//site comments:1984 baseline biological survey SID 82,10/5/2021
14208,French River,at RR bridge adjacent to Reardon Road,41.9735,-71.8998,THOMPSON,3300,CT3300-00_01,Initial Site Number=FR2 or alias of =B6//site comments:1984 baseline biological survey,3/12/2010
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,NAUGATUCK,6915,CT6915-00_01,Initial Site Number=FM1 or alias of =FMB1//site comments:,10/5/2021
14210,Fulling Mill Brook,downstream Maple Hill Road,41.5048,-73.0232,NAUGATUCK,6915,NOSEG,Initial Site Number=FM2 or alias of =FMB2//site comments:,3/12/2010
14211,Fulling Mill Brook,upstream Maple Hill Road,41.5048,-73.0222,NAUGATUCK,6915,NOSEG,Initial Site Number=FM3 or alias of =FMB3//site comments:,3/12/2010
14212,Fulling Mill Brook,across Spring Lake Road (Union City Road) & Route 68,41.5056,-73.0315,NAUGATUCK,6915,CT6915-00_01,Initial Site Number=FM4 or alias of =FMB4//site comments:,12/27/2021
14213,Furnace Brook,downstream Riverside Pond,41.9854,-72.2902,STAFFORD,3103,CT3103-00_02,Initial Site Number=FB1 or alias of =//site comments:,3/12/2010
14214,Furnace Brook,upstream Orcuttville Road,41.9841,-72.2947,STAFFORD,3103,CT3103-00_02,Initial Site Number=FB2 or alias of =//site comments:,10/5/2021
14215,Furnace Brook,downstream Glenville Pond,41.9679,-72.2979,STAFFORD,3103,CT3103-00_02,Initial Site Number=FB3 or alias of =//site comments:,3/12/2010
14216,Great Brook,at mouth (off West Liberty St.),41.547,-73.0423,WATERBURY,6900,CT6900-22_01,Initial Site Number=GB1 or alias of =//site comments:Great Brook is underground until the mouth.  ; Access to the station is behind a commercial building and under a RR tressel.,11/17/2021
14217,Gulf Stream,downstream Park Ave at Mouth,41.7909,-73.1177,TORRINGTON,6900,NOSEG,Initial Site Number=NR6 or alias of =GS1//site comments:,3/12/2010
14218,Hamlin Pond,adjacent Woodford Avenue,41.6711,-72.847,PLAINVILLE,5200,NOSEG,Initial Site Number=QRHM1 or alias of =//site comments:Sediment collection location,3/12/2010
14219,Hammonasset River,at Old County Road,41.4125,-72.6328,KILLINGWORTH,5106,CT5106-00_02,Initial Site Number=HM1 or alias of =//site comments:Station for benthic monitoring,3/12/2010
14220,Hammonasset River,upstream Bunnell Road,41.3882,-72.6149,KILLINGWORTH,5106,CT5106-00_02,Initial Site Number=HM1A or alias of =preferred//site comments:At old bridge supports at the end of dirt road.  Chem/phys samples only (slow flow and deep reach),3/12/2010
14221,Hammonasset River,Adjacent Summer Hill Road (US Chestnut Hill Rd),41.3278,-72.6116,MADISON,5106,CT5106-00_01,Initial Site Number=174 or alias of =//site comments:,10/5/2021
14222,Hancock Brook,near Mouth upstream RR bridge,41.5799,-73.0497,WATERBURY,6911,CT6911-00_01,Initial Site Number=188 or alias of =//site comments:,3/12/2010
14223,Hancock Brook,downstream Bridge in Waterville Park,41.5885,-73.0503,WATERBURY,6911,CT6911-00_01,"Initial Site Number=189 or alias of =1511.10,1515.02//site comments:",10/5/2021
14224,Hanover Pond,adjacent Oregon Road,41.5236,-72.8342,MERIDEN,5200,CT5200-00-4-L2_01,Initial Site Number=QRHP1 or alias of =//site comments:Sediment collection location,3/12/2010
14225,Hanover Pond,adjacent Hanover Street,41.521,-72.8257,MERIDEN,5200,CT5200-00-4-L2_01,Initial Site Number=QRHP3 or alias of =//site comments:Sediment collection location,3/12/2010
14226,Harbor Brook,upstream Coe Avenue,41.5314,-72.8218,MERIDEN,5206,CT5206-00_01,"Initial Site Number=63 or alias of =QR15,11010, 3-016//site comments:",12/27/2021
14227,Hemp Swamp Brook,downstream Emmissons testing Road,41.4294,-73.0766,BEACON FALLS,6900,NOSEG,Initial Site Number=119 or alias of =//site comments:,10/5/2021
14228,Hersig Brook,adjacent Korn School,41.4777,-72.672,DURHAM,4605,CT4605-01_01,Initial Site Number=120 or alias of =//site comments:,12/27/2021
14229,Hockanum Brook,Bethany Road,41.4373,-73.051,BEACON FALLS,6900,CT6900-28_01,Initial Site Number=122 or alias of =//site comments:,10/5/2021
14230,Hockanum Brook,upstream South Main Street Near JCT Route 42,41.4366,-73.0593,BEACON FALLS,6900,CT6900-28_01,"Initial Site Number=HO-69 or alias of =HO-69,5-007//site comments:Site sampled for fish community Summer 2006",10/5/2021
14231,Hockanum River,In Lake,41.7662,-72.6392,EAST HARTFORD,4500,CT4500-00_01,Initial Site Number=HR1-Sediment or alias of =HR1//site comments:,3/12/2010
14232,Hockanum River,In Lake,41.7666,-72.635,EAST HARTFORD,4500,CT4500-00_01,Initial Site Number=HR2-sediment or alias of =HR2//site comments:sediment collection location,3/12/2010
14233,Hockanum River,In Lake Union Pond,41.8051,-72.5219,MANCHESTER,4500,CT4500-00-3-L3_01,Initial Site Number=HR5-Sediment or alias of =HR5//site comments:,3/12/2010
14234,Hockanum River,In lake Scotland Impoundment,41.7759,-72.6027,EAST HARTFORD,4500,CT4500-00_02,Initial Site Number=HR3-Sediment or alias of =HR3//site comments:,3/12/2010
14235,Hockanum River,downstream Walnut Street,41.7822,-72.5912,EAST HARTFORD,4500,CT4500-00_02,"Initial Site Number=48 or alias of =HR11, 18-003//site comments:",10/5/2021
14236,Hockanum River,downstream Vernon Avenue,41.8647,-72.4517,VERNON,4500,CT4500-00_06b,Initial Site Number=HR1 or alias of =//site comments:site samples as part of Hockanum River TMDL development,3/12/2010
14237,Hockanum River,downstream New State Street,41.7859,-72.5569,MANCHESTER,4500,CT4500-00_03,Initial Site Number=HR10 or alias of =//site comments:,10/5/2021
14238,Hockanum River,upstream Lower Butcher Road,41.8758,-72.4743,ELLINGTON,4500,CT4500-00_06a,Initial Site Number=HR2 or alias of =32-005//site comments:site samples as part of Hockanum River TMDL development.,12/27/2021
14239,Hockanum River,upstream Vernon STP,41.8659,-72.487,VERNON,4500,CT4500-00_06a,Initial Site Number=HR3 or alias of =//site comments:site samples as part of Hockanum River TMDL development,3/12/2010
14240,Hockanum River,upstream Werner Road,41.8585,-72.4916,VERNON,4500,CT4500-00_05,Initial Site Number=HR4 or alias of =//site comments:site samples as part of Hockanum River TMDL development,3/12/2010
14241,Hockanum River,upstream Dart Hill Road,41.8503,-72.4878,VERNON,4500,CT4500-00_05,Initial Site Number=HR5 or alias of =//site comments:Access to site at WPCF pump station driveway.  Site was part of TMDL development in 2003,10/5/2021
14242,Hockanum River,upstream 100 meters confluence with Tankerhoosen River,41.8195,-72.5035,VERNON,4500,CT4500-00_04b,Initial Site Number=HR6 or alias of =//site comments:Access through parking areas for Golf Land or Vernon Cine 1-2,10/5/2021
14243,Hockanum River,adjacent Route 83,41.8107,-72.5176,MANCHESTER,4500,CT4500-00_04a,Initial Site Number=HR8 or alias of =//site comments:,3/12/2010
14244,Hockanum River,upstream Adams Street,41.7883,-72.5503,MANCHESTER,4500,CT4500-00_03,"Initial Site Number=HR9 or alias of =//site comments:Benthic sample only, no chem samples for quarterly monitoring due to sampler #1 error.",10/5/2021
14245,Hockanum River,at USGS gage upstream of Walnut Street,41.7822,-72.5916,EAST HARTFORD,4500,CT4500-00_02,Initial Site Number=usgs or alias of =//site comments:,10/5/2021
14246,Hollenbeck River,at Route 126 & R.R tracks,41.9756,-73.3572,CANAAN,6200,CT6200-00_01,Initial Site Number=123 or alias of =//site comments:,3/12/2010
14247,Hollenbeck River,at Cobble Road,41.9431,-73.3058,CANAAN,6200,CT6200-00_01,Initial Site Number=36A or alias of =HO-62//site comments:,9/30/2021
14248,Hop Brook,at RR bridge Naug Glass,41.4987,-73.0537,NAUGATUCK,6916,CT6916-00_01,Initial Site Number= or alias of =//site comments:,10/5/2021
14249,South Fork Hockanum River,at Olcott Road,41.773,-72.5569,MANCHESTER,4504,CT4504-00_01,Initial Site Number=124 or alias of =//site comments:,3/12/2010
14250,South Fork Hockanum River,upstream discharge POTW Rd,41.7767,-72.5612,MANCHESTER,4504,CT4504-00_01,Initial Site Number=125 or alias of =//site comments:,3/12/2010
14251,Housatonic River,at dirt road North of Route 128,41.8806,-73.3654,CORNWALL,6000,CT6000-00_06,Initial Site Number= or alias of =//site comments:,9/30/2021
14252,Housatonic River,upstream 0.25 miles Housatonic Meadows State Park,41.828,-73.3815,CORNWALL,6000,CT6000-00_06,Initial Site Number=126 or alias of =//site comments:,3/12/2010
14253,Pickerel Lake,at deepest part of lake,41.5257,-72.4203,COLCHESTER,4710,UNKNOWN,Initial Site Number= or alias of =//site comments:Fisheries drawdown study,3/12/2010
14254,Housatonic River,North 1.5 miles Route 128,41.8906,-73.3576,CORNWALL,6000,CT6000-00_06,Initial Site Number=46 or alias of =//site comments:,9/30/2021
14255,Housatonic River,adjacent thru corn field,41.9554,-73.3696,SALISBURY,6000,CT6000-00_06,Initial Site Number=49 or alias of =//site comments:,3/12/2010
14256,Hubbard Brook,upstream 200 meters Route 2 West crossing,41.7082,-72.5803,GLASTONBURY,4007,CT4007-00_01,Initial Site Number=HB1 or alias of =13026//site comments:Site to evaluate potential Zinc runoff.   Sampled second time for sediment and dissolved metals on 1/13/06.  This is the upstream control for the set of sites.; Access to site by parking on the shoulder of Route 2 West 1/4 mile before stream crossing. ,11/17/2021
14257,Hubbard Brook,downstream 50 meters Route 2 East crossing,41.7089,-72.5843,GLASTONBURY,4007,CT4007-00_01,"Initial Site Number=HB3 or alias of =13025,13024//site comments:Site to evaluate potential Zinc runoff.   Sampled second time for sediment and dissolved metals on 1/13/06.  This is the downstream assimilation site for the set of sites.  2 sets of sediment samples one with some organic material the other coarse sand.; Access to site at backend of Irish Club parking lot off Hebron Ave. ",11/17/2021
14258,"Hubbard Brook, Wetland tributary to",in outlet 10 m upstream Route 2 West crossing,41.7097,-72.5828,GLASTONBURY,4007,CT4007-00_01,Initial Site Number=HB2S or alias of =//site comments:Site to evaluate potential Zinc runoff.  Sampled second time for sediment and dissolved metals on 1/13/06.  This is the outlet for a wetland that recieves run-off from an industrial area off Commerce ave.  Zinc plating company; Access to site by parking on the shoulder of Route 2 West at stream crossing. ,11/17/2021
14259,Humiston Brook,Off Dirt road  East County Road,41.5938,-72.9519,WOLCOTT,5202,NOSEG,Initial Site Number=128 or alias of =//site comments:,3/12/2010
14260,Jeremy River,downstream Route 149,41.5799,-72.4028,COLCHESTER,4705,CT4705-00_01,Initial Site Number=129 or alias of =//site comments:,10/5/2021
14261,Kahn Brook,upstream Koskoff/Hillandale Farm,41.5791,-72.1661,BOZRAH,3900,CT3900-07_02,"Initial Site Number=KB3 or alias of =//site comments:evaluate runoff from egg farm; access from Hillandale Farm Contact: Ed Hoffman, Vice President of Hillandale Farms Conn LLC ehoffman@hillandalefarms.com office: 860-885-6595 mobile: 860-266-3540",11/17/2021
14262,Kahn Brook,downstream Farm Buildings,41.5718,-72.1685,BOZRAH,3900,CT3900-07_01,"Initial Site Number=KB2 or alias of =//site comments:evaluate runoff from egg farm; access from Hillandale Farm Contact: Ed Hoffman, Vice President of Hillandale Farms Conn LLC ehoffman@hillandalefarms.com office: 860-885-6595 mobile: 860-266-3540",11/17/2021
14263,Kahn Brook,upstream Schwartz Road,41.5681,-72.1702,BOZRAH,3900,CT3900-07_01,"Initial Site Number=KB1 or alias of =KB3, 13043//site comments:evaluate runoff from egg farm",10/5/2021
14264,Ketch Brook,upstream landfill downstream dam adjacent to Wapping Road,41.8893,-72.5398,EAST WINDSOR,4207,NOSEG,Initial Site Number=KT1 or alias of =//site comments:site located on topo map appears to be behind 3rd house west of intersection of Wapping Road and Rockville Road,3/12/2010
